種別（1: 国際学会・論文誌; 2: その他）,発表年,著者,タイトル,"誌名, 巻・号, ページ, 年",URL
1,2014,"Takuya Matsuzaki, Hidenao Iwane, Hirokazu Anai, Noriko H. Arai",The Most Uncreative Examinee: A First Step toward Wide Coverage Natural Language Math Problem Solving,"Proceedings of 28th Conference on Artificial Intellegence (AAAI 2014), 2014",https://www.aaai.org/ocs/index.php/AAAI/AAAI14/paper/view/8524/8544
2,2014,松崎拓也、岩根秀直、穴井宏和、新井紀子,大学入試過去問による数学問題解答システムの評価と課題分析,"人工知能学会全国大会（第28回）, 2014年5月",https://kaigi.org/jsai/webprogram/2014/pdf/498.pdf
2,2014,川添愛、宮尾祐介、松崎拓也、横野光、新井紀子,出来事の成立・不成立の判断をサポートするイベントオントロジー,"人工知能学会全国大会（第28回）, 2014年5月",https://kaigi.org/jsai/webprogram/2014/pdf/517.pdf
1,2014,"Hidenao Iwane, Takuya Matsuzaki, Noriko Arai and Hirokazu Anai",Automated Natural Language Geometry Math Problem Solving by Real Quantifier Elimination,Proceedings of the 10th International Workshop on Automated Deduction (ADG2014) 75-84 2014年7月,
1,2014,"Noriko H. Arai, Takuya Matsuzaki, Hidenao Iwane, Hirokazu Anai",Mathematics by Machine,Proceedings of 39th International Symposium on Symbolic and Algebraic Computation (ISSAC 2014) 1-8 2014年7月,https://dl.acm.org/citation.cfm?doid=2608628.2627488
1,2014,Noriko H. Arai and Takuya Matsuzaki,The impact of A.I. on education - Can a robot get into the University of Tokyo?,The Proceedings of The 22nd International Conference on Computers in Education 1034-1042 2014年12月,http://icce2014.jaist.ac.jp/icce2014/wp-content/uploads/2014/11/ICCE2014-Main-Proceedings-lite-1.pdf
2,2015,"神谷翼, 松崎拓也, 佐藤理史",数学確率文章題の自動解答システムの開発,言語処理学会第21回年次大会 発表論文集 2015年,http://www.anlp.jp/proceedings/annual_meeting/2015/pdf_dir/B2-3.pdf
2,2015,加納隼人，佐藤理史，松崎拓也,センター試験『国語』評論読解問題ソルバーの改良の検討,2015年度人工知能学会全国大会論文集 2015年,https://kaigi.org/jsai/webprogram/2015/pdf/1K2-3.pdf
2,2015,吉田達平，松崎拓也，佐藤理史,大学入試化学の計算問題の自動解答システム,2015年度人工知能学会全国大会論文集 2015年,https://kaigi.org/jsai/webprogram/2015/pdf/1K2-1.pdf
1,2015,"Takuya Matsuzaki, Akira Fujita, Naoya Todo and Noriko H. Arai",Evaluating Machine Translation Systems with Second LanguageProficiency Tests,"Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (ACL-IJCNLP-2015, Short Papers)",www.anthology.aclweb.org/P/P15/P15-2024.pdf
1,2015,"Munehiro Kobayashi, Hidenao Iwane, Takuya Matsuzaki, Hirokazu Anai",Efficient Subformula Orders for Real Quantifier Elimination of Non-prenex Formulas,"Sixth International Conference on Mathematical Aspects of Computer and Information Sciences, LNCS 9582, 236-251, 2015年11月",http://dx.doi.org/10.1007/978-3-319-32859-1_21
2,2016,"伊藤巧, 松崎拓也, 佐藤理史",数学問題テキストに対する照応・共参照解析,言語処理学会第22回年次大会予稿集 2016年3月,www.anlp.jp/proceedings/annual_meeting/2016/pdf_dir/A6-1.pdf
2,2016,"髙田拓真, 松崎拓也, 佐藤理史",大学入試「世界史」論述問題解答システムの開発,言語処理学会第22回年次大会予稿集 2016年3月,www.anlp.jp/proceedings/annual_meeting/2016/pdf_dir/C6-4.pdf
2,2016,"今川拓哉, 髙田拓真, 松崎拓也, 佐藤理史",表層類似度を用いたセンター試験「世界史」解答システムの改善,言語処理学会第22回年次大会予稿集 2016年3月,www.anlp.jp/proceedings/annual_meeting/2016/pdf_dir/C6-5.pdf
1,2016,"松崎拓也, 横野光, 宮尾祐介, 川添愛, 狩野芳伸, 加納隼人, 佐藤理史, 東中竜一郎, 杉山弘晃, 磯崎秀樹, 菊井玄一郎, 堂坂浩二, 平博順, 南泰浩, 新井紀子",「ロボットは東大に入れるか」プロジェクト： 代ゼミセンター模試タスクにおけるエラーの分析,自然言語処理 23(1) 119-159 2016年,https://www.jstage.jst.go.jp/article/jnlp/23/1/23_119/_pdf/-char/ja
2,2016,"神谷翼, 松崎拓也, 佐藤理史",題材となるオブジェクトの抽象化による確率文章題の自動解答,2016年度人工知能学会全国大会論文集 2016年6月,https://kaigi.org/jsai/webprogram/2016/paper-814.html
1,2016,"Takuya Matsuzaki, Akira Fujita, Naoya Todo and Noriko H. Arai",Translation Errors and Incomprehensibility: a Case Study using Machine-Translated Second Language Proficiency Tests,Proceedings of LREC 2016 2771-2776 2016年5月,www.lrec-conf.org/proceedings/lrec2016/pdf/921_Paper.pdf
1,2016,"Yumi Wada, Takuya Matsuzaki, Akira Terui, Noriko H. Arai",An Automated Deduction and Its Implementation for Solving Problem of Sequence at University Entrance Examination,"Mathematical Software - ICMS 2016 - 5th International Conference, LNCS 9725, 82-89, 2016年",https://link.springer.com/chapter/10.1007%2F978-3-319-42432-3_11
